,Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
287,XGBoost,7.0,individual_fairness,0.0005677136108424,1.4351876327767729e-05,0.0037883870351071,0.0065985012300963,0.0048485575208376,1.20077789370721e-05
288,XGBoost,8.0,individual_fairness,0.0002871669795567,1.900382657575933e-07,0.0004359337859785,0.002101106085788,0.0020984091441256,1.063544763336049e-07
289,XGBoost,9.0,individual_fairness,0.0003054400780934,2.293170081335851e-07,0.0004788705546737,0.0024125207212611,0.002398220263862,1.1999796170670834e-07
290,XGBoost,0.0,group_fairness,0.0353755397000342,0.0052006396278877,0.0721154603943406,0.0863641551823352,0.0859993901052857,0.0013493084915857
291,XGBoost,1.0,group_fairness,0.035722716524026,0.0053209253419495,0.0729446731567806,0.1138552255619361,0.1013182217011091,0.0014249742276496
292,XGBoost,2.0,group_fairness,0.0347113615161974,0.00546495527343,0.0739253358019427,0.0878321929065968,0.0853746379366035,0.0013910204954862
293,XGBoost,3.0,group_fairness,0.0371452734104679,0.0055147062331338,0.0742610680850592,0.1082857731899997,0.0949611278863248,0.0014549211806822
294,XGBoost,4.0,group_fairness,0.0378541631044456,0.0060788398117263,0.0779669148532016,0.0925483760884973,0.0929914005712694,0.0015370389948189
295,XGBoost,5.0,group_fairness,0.0367318763035812,0.0054219201655497,0.0736336890665524,0.1120987322720672,0.1051290148665691,0.0014426398832116
296,XGBoost,6.0,group_fairness,0.0345658128329094,0.0051150139866483,0.0715193259661212,0.4651518773599633,0.0966289277105074,0.0013591585991626
297,XGBoost,7.0,group_fairness,0.034854424324282,0.0048939432387257,0.0699567240422656,0.1069866088151163,0.0962885827637935,0.0012937018112905
298,XGBoost,8.0,group_fairness,0.0350790963552122,0.0052817552739348,0.0726756855759535,0.0892882380914288,0.086254739315392,0.0013404005787458
299,XGBoost,9.0,group_fairness,0.0365703078092261,0.0055401019251106,0.0744318609542353,0.0958014576035761,0.0907589333982436,0.0014375158173166
300,LightGBM,0.0,Group Size Disparity,0.2927427143725811,0.1319431229104458,0.3632397595396818,5970874577091.289,0.6397640673986557,0.0558713502202437
301,LightGBM,1.0,Group Size Disparity,0.3004311380565046,0.1379018221520764,0.3713513459677726,2435677982724.8584,0.65864873429095,0.058589762360315
302,LightGBM,2.0,Group Size Disparity,0.2964523749681497,0.130645303747648,0.3614488950704485,5960543619364.764,0.6714038329650672,0.0578652007147927
303,LightGBM,3.0,Group Size Disparity,0.2904598316785314,0.1293962700724746,0.3597169304779449,4792703225191.746,0.6280120149717175,0.0547646172204567
304,LightGBM,4.0,Group Size Disparity,0.2944064138700766,0.1296018359052242,0.3600025498593368,4708427864382.892,0.6449116799129092,0.0558474042039549
305,LightGBM,5.0,Group Size Disparity,0.2928640238802358,0.1278523430482458,0.3575644599904272,7085018691404.19,0.6526980959367231,0.0560819439760842
306,LightGBM,6.0,Group Size Disparity,0.2909789785862798,0.1276424170189253,0.3572707894845663,1100552685711.1194,0.6503790883535199,0.0558364970067755
307,LightGBM,7.0,Group Size Disparity,0.2923416966666411,0.1302271116057855,0.3608699372430259,8393071376879.53,0.6543995532189806,0.0567473386476885
308,LightGBM,8.0,Group Size Disparity,0.3034927615959509,0.1364227897424393,0.3693545583073793,6065326531787.253,0.6764651085138984,0.0592456992200779
309,LightGBM,9.0,Group Size Disparity,0.2904029521083961,0.1281698021167031,0.358008103423237,1190034590497.7332,0.6373332980236651,0.0552957687467193
310,LightGBM,0.0,Prevalence Disparity,0.0576198506137894,0.0061259779846448,0.0782686270778074,30.301529935225,0.7896575207838038,0.0046354861403258
311,LightGBM,1.0,Prevalence Disparity,0.0568211490926856,0.0060178535935246,0.0775748257717966,7.391512729867912,0.7722192092779507,0.0045021476767118
312,LightGBM,2.0,Prevalence Disparity,0.0550607496651908,0.0055483751952111,0.0744874163547851,450253832131.5467,0.7732719006611576,0.0042288290889217
313,LightGBM,3.0,Prevalence Disparity,0.0573425976822507,0.005971984087653,0.0772786133911126,9.086405266809557,0.7823673750405074,0.0045210853566581
314,LightGBM,4.0,Prevalence Disparity,0.0546198353559166,0.0052844547560133,0.0726942553164507,5.917241913859074,0.7565674238800714,0.0040442990104817
315,LightGBM,5.0,Prevalence Disparity,0.0557584467072602,0.0056215996633056,0.0749773276618051,449117076787.5736,0.7811031972710523,0.00425166412459
316,LightGBM,6.0,Prevalence Disparity,0.0563154057617725,0.0059277247039139,0.076991718411229,51.97730142741367,0.7805916917521754,0.0043858196202914
317,LightGBM,7.0,Prevalence Disparity,0.0550582487187442,0.0055011250504443,0.0741695695716537,7.201249930654755,0.756477384607002,0.0041783365986011
318,LightGBM,8.0,Prevalence Disparity,0.0549468733015055,0.0055970302012938,0.0748133023017556,258134649016.2375,0.7633069975036642,0.0042351401559449
319,LightGBM,9.0,Prevalence Disparity,0.054988008820546,0.0054954536461593,0.0741313270227864,31.83448597171149,0.7785829329736536,0.0042093807709636
320,LightGBM,0.0,equal_opportunity,0.1097220192465836,0.0272488325256136,0.1650722039763619,2307391360486.515,0.720903246445305,0.0155476034502874
