,Chain_Model,Fold,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
200,LightGBM(EDG),4,group_fairness,0.0711793784326063,0.0131310371009922,0.1145907374135984,0.1996767830408722,0.1805900511654136,0.0039548265958929
201,LightGBM(EGD),4,disparate_parity,0.091861299939562,0.0157197232031791,0.1253783203076958,1594356460004.8335,0.6715869529431434,0.0099635236809537
202,LightGBM(EGD),4,equal_opportunity,0.1104140939816808,0.0266193388377946,0.1631543405423055,3035667133567.986,0.7355466131080208,0.0153402583871103
203,LightGBM(EGD),4,group_fairness,0.0709027427288005,0.0129440003096945,0.113771702587658,0.1999778713131258,0.1801903573443996,0.0038998071409894
204,LightGBM(GDE),4,disparate_parity,0.0994094073235785,0.0198489287192466,0.1408862261516243,452501886173.4259,0.7071988417217075,0.0125181709837682
205,LightGBM(GDE),4,equal_opportunity,0.1131037905520288,0.030531928235595,0.1747338783281453,875835986902.089,0.7523850712051928,0.0176856333935072
206,LightGBM(GDE),4,group_fairness,0.0393211459935845,0.006418844244034,0.0801176899569254,0.1053540261213531,0.1075911334827889,0.0016508837996113
207,LightGBM(GED),4,disparate_parity,0.0976274119527961,0.0191821016655533,0.1384994644955471,687852602505.7151,0.7091525895506468,0.0120471702341009
208,LightGBM(GED),4,equal_opportunity,0.1136188023376794,0.0313412176049149,0.1770345096440661,592990417441.1115,0.7421967965447969,0.0181976479983846
209,LightGBM(GED),4,group_fairness,0.0393211462170577,0.0064188442778241,0.0801176901678032,0.1053540253337062,0.1075911313665295,0.0016508838014926
210,AverageEnsemble(2),4,disparate_parity,0.0917138955462454,0.0155921536810264,0.1248685456030718,1543487655369.8677,0.6720371092134803,0.0098945561322314
211,AverageEnsemble(2),4,equal_opportunity,0.1105587184645373,0.0264826443882677,0.162734889892327,3133885086406.288,0.7394005678625425,0.0152205871219651
212,AverageEnsemble(2),4,group_fairness,0.0708646098086288,0.0127365765542898,0.1128564422365416,0.2179549614864013,0.188020219624041,0.0038909525688906
213,EnsembleTree(2),4,disparate_parity,0.0992788328742823,0.0176153836911667,0.1327229584177763,1819157747685.763,0.7125440493832199,0.0112532437016769
214,EnsembleTree(2),4,equal_opportunity,0.1218943974700125,0.0309069723161892,0.1758037892543537,3276231641903.361,0.7919067045481368,0.0179226430211256
215,EnsembleTree(2),4,group_fairness,0.0801550418651483,0.0145284913915801,0.1205341917946112,0.3973520821772041,0.2730415622175636,0.0046730705732634
216,AverageEnsemble(3),4,disparate_parity,0.0916760999438556,0.0155973224797487,0.1248892408486365,1520581794382.3044,0.6716890199790465,0.0098922203198081
217,AverageEnsemble(3),4,equal_opportunity,0.1104685238267772,0.0264996050144066,0.1627869927678703,3101145771197.638,0.7381327192120295,0.015241729700315
218,AverageEnsemble(3),4,group_fairness,0.0707929666747703,0.0127996228988653,0.1131354184102633,0.2107717408276801,0.1847527217686824,0.0038908849744018
219,EnsembleTree(3),4,disparate_parity,0.0998297938847186,0.0179756962948182,0.1340734734942682,2087782424572.532,0.7149760674712607,0.0114945794306771
220,EnsembleTree(3),4,equal_opportunity,0.1213946736771524,0.0310823613717802,0.1763019040503539,3361588457706.835,0.7902253908967891,0.0179848121725294
221,EnsembleTree(3),4,group_fairness,0.0804388036937196,0.0147049227337807,0.1212638558424593,0.3912420252143067,0.2716969262058077,0.0046711005899699
222,AverageEnsemble(4),4,disparate_parity,0.0916793273097947,0.0155853182650068,0.1248411721548896,1513591059971.6226,0.6720374168008966,0.0098893901477872
223,AverageEnsemble(4),4,equal_opportunity,0.1106720518590921,0.0265332621221958,0.1628903377189568,3152752555107.62,0.7400063938726278,0.0152494604201848
224,AverageEnsemble(4),4,group_fairness,0.0708365591920787,0.0127507873273636,0.1129193841967077,0.2174873884972393,0.1877942307971195,0.0038878220902838
225,EnsembleTree(4),4,disparate_parity,0.0998552018497913,0.0180644374022173,0.1344040081330068,1855918245099.763,0.7139457226409937,0.011550940267132
226,EnsembleTree(4),4,equal_opportunity,0.1209763228585185,0.0308376941383241,0.1756066460539696,3033284070233.775,0.788724484495845,0.0178318199685966
227,EnsembleTree(4),4,group_fairness,0.0792303229505334,0.0140827479988665,0.1186707546064595,0.3920601783674319,0.2715408946528424,0.0045388711732953
228,AverageEnsemble(5),4,disparate_parity,0.0908124902455641,0.0156333761372315,0.1250335000599099,1315839035111.4512,0.6668176202962777,0.0098852916236512
229,AverageEnsemble(5),4,equal_opportunity,0.1090273379352946,0.0262282883294782,0.1619514999296957,2600485659049.326,0.7297567316688031,0.0150850544299334
230,AverageEnsemble(5),4,group_fairness,0.0622199627393982,0.0102877012625117,0.1014283060220947,0.18670229477663,0.1654605723601225,0.0030382810165968
231,EnsembleTree(5),4,disparate_parity,0.1022521609581728,0.0185063014986567,0.1360378678848531,2013772170559.3564,0.7200755162353073,0.0118337326080449
232,EnsembleTree(5),4,equal_opportunity,0.1185677967750183,0.0308388301560799,0.1756098805764641,3406632368484.4004,0.7697137026203491,0.0176261955946771
233,EnsembleTree(5),4,group_fairness,0.0608006394443341,0.0088827427338002,0.0942483036123208,0.3746777671280106,0.2409715642304428,0.0027570293638343
234,AverageEnsemble(6),4,disparate_parity,0.0911129653367447,0.0158690728326344,0.1259725082414193,1171949510288.4326,0.6664881840550044,0.0100186889068643
235,AverageEnsemble(6),4,equal_opportunity,0.1079732063498366,0.0261201642368727,0.161617338911618,2303747761519.198,0.7234404006914192,0.0150261502732459
236,AverageEnsemble(6),4,group_fairness,0.0569066411181245,0.0089780598310269,0.0947526244017912,0.167478468457664,0.1513903800345669,0.0025844863376844
237,EnsembleTree(6),4,disparate_parity,0.1024018343928325,0.0184954763645679,0.1359980748561093,2013772170559.3564,0.7236888424404365,0.0118297340093891
238,EnsembleTree(6),4,equal_opportunity,0.1188009539163771,0.0308937889255958,0.1757662906407137,3406632368484.407,0.7704690114209856,0.0176967668787082
239,EnsembleTree(6),4,group_fairness,0.0614451155855481,0.0094588152306608,0.097256440561337,0.3752585079256473,0.2412507759174604,0.0028437654307047
240,LightGBM(DEG),5,disparate_parity,0.0914996601178494,0.0158649857653048,0.1259562851361727,915827665658.8856,0.6741523239957073,0.0098711262055271
241,LightGBM(DEG),5,equal_opportunity,0.1078329654756262,0.0245360990825485,0.1566400302686021,1643990008409.319,0.7441920237944233,0.0143190964735195
242,LightGBM(DEG),5,group_fairness,0.0749978541998557,0.0150896641683556,0.1228399941727272,0.2352877867736091,0.1966916086630409,0.0044587571669237
243,LightGBM(DGE),5,disparate_parity,0.0914996601721715,0.0158649857988877,0.1259562852694843,915827665873.5632,0.6741523240650067,0.0098711262237557
244,LightGBM(DGE),5,equal_opportunity,0.1074573590455376,0.0244489303520859,0.1563615373168413,1616481330105.1284,0.7426022707435892,0.0142479158685149
245,LightGBM(DGE),5,group_fairness,0.0752060506403951,0.0150378213010186,0.1226287947466607,0.2355392428221246,0.197273568400591,0.0044595839373657
246,LightGBM(EDG),5,disparate_parity,0.0908792570415078,0.0161136133790785,0.1269394082981269,931488240193.6698,0.6669311184983282,0.0099947442974278
247,LightGBM(EDG),5,equal_opportunity,0.1041458444363573,0.0239273576779087,0.1546847040851446,1315224454956.0552,0.72303472303096,0.014006190700162
248,LightGBM(EDG),5,group_fairness,0.0616139202777024,0.0097724989475257,0.0988559504912363,0.1945285826431527,0.1698643583927352,0.0030524424257867
249,LightGBM(EGD),5,disparate_parity,0.0909109014052293,0.0161293400712331,0.1270013388560653,931772616175.173,0.6667389384831086,0.0099874421996954
250,LightGBM(EGD),5,equal_opportunity,0.1041458442502983,0.0239273576110079,0.1546847038688956,1315224459713.7263,0.723034722047978,0.0140061906582588
251,LightGBM(EGD),5,group_fairness,0.0611342227557106,0.0096009911477674,0.0979846475105538,0.1959756670498731,0.1708489697623529,0.002990824725167
252,LightGBM(GDE),5,disparate_parity,0.0995681679731377,0.0201590695808401,0.141982638307788,779536828634.2765,0.7006221848945182,0.0125749476029507
253,LightGBM(GDE),5,equal_opportunity,0.1094812902118075,0.0285276497955806,0.1689013019357181,252927418636.9383,0.7385292261768824,0.0167446181008799
254,LightGBM(GDE),5,group_fairness,0.037346393727592,0.0058681315693075,0.0766037307793005,0.1095435969686064,0.10254245243434,0.001581037829673
255,LightGBM(GED),5,disparate_parity,0.1008424174627741,0.0206012180482129,0.1435312441533652,836796603005.7202,0.722958591218203,0.0127951436171946
256,LightGBM(GED),5,equal_opportunity,0.1098117936668169,0.0297291333926404,0.1724213832233126,364526025886.02814,0.738254394001456,0.0174356930720479
257,LightGBM(GED),5,group_fairness,0.0373463935877468,0.0058681314387271,0.0766037299269894,0.1095435977045575,0.1025424524480465,0.0015810378014566
258,AverageEnsemble(2),5,disparate_parity,0.0907352801978055,0.0160519905858306,0.1266964505652415,931630428184.42,0.6662097081691627,0.0099464629766173
259,AverageEnsemble(2),5,equal_opportunity,0.1041458443433278,0.0239273576444583,0.1546847039770201,1315224457334.8904,0.7230347225394691,0.0140061906792104
260,AverageEnsemble(2),5,group_fairness,0.0611304011129692,0.009619004127343,0.0980765217946834,0.1944532221947133,0.169636436931833,0.0029979485965611
261,EnsembleTree(2),5,disparate_parity,0.1028948697219343,0.0188389583438639,0.1372550849472029,940369407991.0526,0.7312354664875687,0.0119210193602098
262,EnsembleTree(2),5,equal_opportunity,0.1147217177910565,0.0290249543830062,0.1703671164955439,1190116392308.3474,0.7540942748850069,0.0169809651958189
263,EnsembleTree(2),5,group_fairness,0.0749640238571643,0.0112800451170833,0.1062075567795596,0.4032469933990171,0.2691899917656017,0.0040734431062799
264,AverageEnsemble(3),5,disparate_parity,0.0907588537628887,0.0158872559409978,0.1260446585183119,926362840675.9072,0.6687965069946779,0.0098555480737245
265,AverageEnsemble(3),5,equal_opportunity,0.1050883532639162,0.023836715764041,0.1543914368222572,1424812974359.6985,0.7298006769744328,0.0139304700895857
266,AverageEnsemble(3),5,group_fairness,0.0649764803797184,0.0109632976480205,0.1047057670236962,0.2055451086845147,0.176566799928176,0.0033597856890154
267,EnsembleTree(3),5,disparate_parity,0.1027649932758893,0.0187655591923454,0.1369874417322459,995806583381.8812,0.7275319147661135,0.0118808945854106
268,EnsembleTree(3),5,equal_opportunity,0.1159291822863812,0.029572232522091,0.1719657888130398,1236487299798.7007,0.7592105996742091,0.0173369877126426
269,EnsembleTree(3),5,group_fairness,0.0732180907386894,0.0110512505068426,0.1051249280943518,0.3648280968230044,0.2579515974843073,0.0039030599898055
270,AverageEnsemble(4),5,disparate_parity,0.0909871508730716,0.0161679197409854,0.1271531350025842,889656337665.4774,0.6677953892451847,0.0100208713696767
271,AverageEnsemble(4),5,equal_opportunity,0.1033291881562074,0.0238119427907102,0.154311188157924,1032110100604.2188,0.7168553475088344,0.0138957354163498
272,AverageEnsemble(4),5,group_fairness,0.0553399633983065,0.0085040646205739,0.0922174854383588,0.1737443795922837,0.1524361844037214,0.0025053228297976
273,EnsembleTree(4),5,disparate_parity,0.1022907403182383,0.0189038644693633,0.1374913250694868,559266161676.3568,,0.011937696631483
274,EnsembleTree(4),5,equal_opportunity,0.1111394603961188,0.0274887869388895,0.1657974274193949,634197729427.8362,,0.0161624639737149
275,EnsembleTree(4),5,group_fairness,0.0591320816496768,0.0079102806419476,0.0889397584994902,0.334195516771857,0.2313355477676645,0.0026520277449166
276,AverageEnsemble(5),5,disparate_parity,0.0908076908507814,0.0160044312112799,0.1265086210946905,894890603307.0933,0.6684684558512651,0.0099247635615268
277,AverageEnsemble(5),5,equal_opportunity,0.1038579536137517,0.0237073095356514,0.1539717816213458,1148984346504.3987,0.7216058343883983,0.0138204331119458
